customerID,gender,SeniorCitizen,tenure_months,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,SupportTickets,Churn
C100452,Male,1,71,One year,Fiber optic,Credit card,46.62,3330.3,1,No
C101816,Male,0,38,Month-to-month,Fiber optic,Credit card,79.45,2991.05,2,No
C100587,Male,0,35,Two year,No,Electronic check,24.86,888.14,1,No
C100007,Female,0,54,Month-to-month,No,Electronic check,52.26,2804.29,3,Yes
C101766,Female,0,64,Month-to-month,Fiber optic,Electronic check,64.08,4071.13,0,No
C100705,Female,1,2,Month-to-month,Fiber optic,Credit card,66.65,120.62,0,Yes
C101318,Male,0,39,Month-to-month,Fiber optic,Credit card,67.86,2658.16,1,Yes
C101353,Female,0,23,One year,Fiber optic,Credit card,58.04,1337.02,0,No
C100020,Female,1,18,Month-to-month,No,Mailed check,29.37,504.68,0,Yes
C101153,Female,0,59,Month-to-month,Fiber optic,Electronic check,70.32,4150.21,1,Yes
C101190,Male,0,34,One year,Fiber optic,Mailed check,78.27,2684.14,1,Yes
C101075,Male,0,43,Month-to-month,Fiber optic,Credit card,41.03,1758.99,1,No
C100206,Female,0,51,Month-to-month,Fiber optic,Electronic check,84.44,4301.09,1,No
C100816,Male,0,63,Month-to-month,Fiber optic,Credit card,86.18,5398.29,0,Yes
C100415,Female,0,4,One year,DSL,Mailed check,58.92,265.32,2,No
C101625,Female,0,41,One year,DSL,Bank transfer,67.53,2726.29,2,No
C100927,Male,0,21,Month-to-month,No,Credit card,22.82,452.77,1,No
C100720,Male,0,62,Month-to-month,Fiber optic,Credit card,83.76,5202.13,2,No
C101631,Female,0,28,Month-to-month,Fiber optic,Mailed check,72.04,1996.64,4,Yes
C100731,Male,0,24,Two year,Fiber optic,Credit card,83.44,1981.97,3,Yes
C100217,Male,0,13,Month-to-month,Fiber optic,Bank transfer,,645.12,0,No
C100419,Female,1,6,Month-to-month,Fiber optic,Credit card,81.54,495.64,0,Yes
C101251,Male,0,40,Month-to-month,Fiber optic,Electronic check,84.83,3403.09,0,Yes
C100986,Female,0,38,One year,Fiber optic,Electronic check,83.86,3172.42,1,Yes
C101635,Female,0,20,One year,DSL,Credit card,43.93,885.97,0,No
C100921,Female,0,32,Month-to-month,Fiber optic,Credit card,80.74,2539.63,0,Yes
C100970,Male,0,14,One year,Fiber optic,Bank transfer,65.32,929.09,3,Yes
C101312,Female,0,36,Month-to-month,Fiber optic,Electronic check,73.92,2629.24,1,Yes
C101717,Male,1,51,Two year,No,Mailed check,22.21,1102.79,2,No
C101564,Female,0,20,Two year,DSL,Bank transfer,64.82,1282.28,1,No
C101846,Male,0,19,Two year,Fiber optic,Electronic check,90.93,1743.31,0,No
C100797,Male,0,50,Month-to-month,DSL,Credit card,49.62,2483.41,2,No
C101260,Male,0,14,One year,No,Electronic check,32.27,515.78,0,No
C101794,Male,1,2,One year,Fiber optic,Bank transfer,96.41,192.29,0,Yes
C100528,Female,0,61,Month-to-month,Fiber optic,Credit card,88.21,5369.55,1,No
C101753,Male,0,0,One year,No,Credit card,17.6, ,2,No
C100051,Male,0,10,One year,Fiber optic,Mailed check,84.61,821.27,1,Yes
C100036,Female,0,42,Month-to-month,No,Mailed check,33.24,1420.31,0,No
C101046,Male,0,43,Month-to-month,Fiber optic,Mailed check,79.79,3399.85,2,Yes
C101280,Female,0,47,Two year,Fiber optic,Electronic check,69.0,3226.28,2,No
C101483,Male,0,13,Month-to-month,Fiber optic,Bank transfer,68.19,878.04,1,Yes
C100562,Male,1,34,Month-to-month,DSL,Electronic check,78.14,2623.39,1,Yes
C100396,Male,0,41,Month-to-month,Fiber optic,Mailed check,57.47,2351.34,0,Yes
C101647,Female,0,2,Month-to-month,Fiber optic,Bank transfer,77.53,157.07,3,Yes
C101125,Female,0,66,Month-to-month,No,Credit card,32.13,2109.24,1,No
C100751,Male,0,30,Month-to-month,DSL,Bank transfer,26.41,801.56,0,No
C101138,Female,0,16,Month-to-month,Fiber optic,Electronic check,62.02,963.26,1,Yes
C101317,Female,0,64,Two year,No,Bank transfer,20.94,1354.05,2,No
C100350,Female,0,24,Month-to-month,Fiber optic,Credit card,85.5,2059.62,0,Yes
C101025,Male,0,72,One year,Fiber optic,Bank transfer,68.29,4908.35,1,No
C101904,Male,0,46,Month-to-month,No,Mailed check,15.61,717.45,0,No
C100525,Male,0,5,One year,No,Credit card,39.82,196.5,1,No
C100820,Male,1,57,One year,Fiber optic,Credit card,66.77,3845.33,1,No
C100441,Male,0,20,Month-to-month,No,Mailed check,15.0,272.21,0,Yes
C100146,Male,0,39,Month-to-month,Fiber optic,Mailed check,71.34,2817.8,2,No
C101618,Male,0,18,One year,Fiber optic,Credit card,72.5,1329.21,0,No
C100946,Female,0,34,One year,Fiber optic,Credit card,75.02,2569.81,1,Yes
C100863,Female,0,40,One year,DSL,Electronic check,65.71,2654.44,2,Yes
C100237,Male,0,19,Two year,Fiber optic,Mailed check,82.16,1589.55,2,No
C101872,Female,0,32,Month-to-month,DSL,Credit card,40.47,1304.16,1,No
C100561,Male,0,48,Month-to-month,Fiber optic,Mailed check,69.5,3328.68,1,Yes
C100669,Male,1,26,Month-to-month,No,Electronic check,27.28,722.4,3,Yes
C100928,Male,0,53,One year,DSL,Electronic check,67.84,3623.3,3,No
C101715,Female,0,31,Month-to-month,DSL,Credit card,74.17,2306.68,1,No
C101640,Female,0,46,Month-to-month,DSL,Electronic check,34.0,1571.78,2,No
C100754,Female,0,48,Two year,Fiber optic,Electronic check,86.71,4163.42,1,No
C101968,Female,0,0,One year,DSL,Mailed check,38.56, ,0,Yes
C101323,Female,0,66,Month-to-month,No,Mailed check,15.0,1011.84,5,No
C101446,Female,0,10,Two year,Fiber optic,Mailed check,73.11,756.43,0,Yes
C100500,Male,0,8,Month-to-month,No,Bank transfer,15.0,111.13,2,Yes
C100438,Male,1,5,Month-to-month,No,Credit card,19.36,107.03,2,No
C101934,Male,0,48,Month-to-month,Fiber optic,Mailed check,80.7,3879.35,0,No
C100663,Male,0,20,Month-to-month,No,Bank transfer,15.0,291.32,1,No
C101976,Female,0,4,One year,No,Electronic check,23.42,104.34,1,No
C100725,Male,0,42,Month-to-month,Fiber optic,Mailed check,112.21,4723.3,3,Yes
C101287,Male,0,12,One year,DSL,Mailed check,68.38,819.49,1,Yes
C100262,Male,0,17,Month-to-month,DSL,Credit card,30.45,501.82,1,No
C100141,Male,0,1,Month-to-month,DSL,Mailed check,73.95,62.31,2,Yes
C100351,Male,0,2,Month-to-month,No,Credit card,34.67,57.79,0,No
C100367,Male,0,12,One year,DSL,Electronic check,72.95,847.52,2,Yes
C101861,Male,0,38,Month-to-month,DSL,Bank transfer,46.01,1755.38,2,Yes
C100311,Female,1,24,One year,No,Credit card,38.98,959.59,0,No
C101127,Female,0,13,Month-to-month,Fiber optic,Electronic check,65.65,865.21,1,Yes
C101985,Female,0,5,Month-to-month,DSL,Electronic check,42.49,196.65,1,No
C100454,Female,0,34,Month-to-month,Fiber optic,Electronic check,95.5,3249.96,1,No
C101293,Male,0,25,One year,DSL,Bank transfer,51.57,1293.98,2,No
C101683,Female,0,46,One year,No,Electronic check,19.69,918.94,1,No
C101634,Male,0,5,Month-to-month,DSL,Bank transfer,57.5,297.41,3,Yes
C101172,Male,0,72,Two year,Fiber optic,Mailed check,80.45,5782.15,0,No
C100341,Male,0,72,Month-to-month,No,Credit card,23.83,1716.23,2,Yes
C100683,Female,0,59,One year,No,Bank transfer,30.28,1768.91,3,No
C100961,Male,0,32,Month-to-month,DSL,Electronic check,61.51,1962.75,0,No
C101791,Female,0,45,One year,Fiber optic,Electronic check,68.29,3087.84,1,No
C100855,Female,1,64,Two year,DSL,Electronic check,53.27,3400.77,0,No
C101417,Male,0,32,Two year,No,Electronic check,15.0,521.52,3,No
C100179,Female,0,67,Two year,Fiber optic,Electronic check,66.83,4479.32,0,No
C100977,Female,1,15,Month-to-month,DSL,Credit card,55.95,833.91,0,No
C100806,Female,0,36,Month-to-month,Fiber optic,Bank transfer,92.0,3269.18,1,Yes
C100397,Male,1,11,One year,DSL,Mailed check,56.53,657.18,1,No
C101313,Female,0,11,One year,Fiber optic,Electronic check,88.77,983.98,1,No
C100340,Female,0,21,Month-to-month,No,Credit card,15.92,314.5,0,No
C100596,Female,0,62,Month-to-month,DSL,Credit card,42.41,2643.42,0,No
C101133,Female,1,62,Month-to-month,Fiber optic,Credit card,79.16,4907.99,2,Yes
C101949,Male,1,5,One year,No,Mailed check,31.19,184.22,4,Yes
C100479,Male,0,23,Two year,DSL,Mailed check,65.94,1506.69,1,No
C100804,Female,0,32,Two year,No,Bank transfer,27.46,891.56,4,No
C100729,Female,0,22,Month-to-month,Fiber optic,Bank transfer,81.05,1788.92,1,Yes
C101027,Male,0,70,Month-to-month,DSL,Credit card,41.76,2923.89,1,No
C100071,Male,0,51,One year,DSL,Credit card,43.77,2222.56,3,No
C101169,Female,0,66,Month-to-month,DSL,Credit card,52.55,3490.47,2,No
C101733,Female,0,41,Two year,DSL,Electronic check,40.72,1701.9,2,No
C101723,Female,0,2,Two year,Fiber optic,Mailed check,46.68,106.42,0,No
C100308,Male,0,28,Two year,DSL,Electronic check,28.69,805.62,0,No
C100571,Male,0,46,Two year,Fiber optic,Electronic check,70.63,3247.14,1,No
C101888,Male,0,60,Two year,Fiber optic,Credit card,74.19,4463.62,0,No
C100298,male,0,21,Month-to-month,DSL,Credit card,72.7,1541.66,0,Yes
C100200,Male,0,68,Month-to-month,Fiber optic,Credit card,105.46,7148.06,0,No
C101905,Male,0,68,Two year,DSL,Mailed check,59.1,4042.52,1,No
C101509,Female,0,33,One year,Fiber optic,Electronic check,78.35,2566.66,1,No
C101122,Male,0,44,Month-to-month,No,Mailed check,34.88,1542.82,0,No
C101741,Female,1,27,One year,Fiber optic,Bank transfer,83.26,2262.82,0,No
C101334,Female,0,24,Month-to-month,Fiber optic,Mailed check,83.29,1981.65,1,Yes
C100504,Male,0,30,Month-to-month,Fiber optic,Credit card,79.21,2401.99,0,Yes
C100779,Female,0,19,One year,Fiber optic,Bank transfer,79.47,1508.15,1,Yes
C100620,Male,0,8,Month-to-month,No,Credit card,23.69,229.36,1,Yes
C101600,Male,0,9,Month-to-month,No,Electronic check,43.26,324.19,1,Yes
C101139,Female,1,22,Two year,DSL,Credit card,38.75,884.94,0,No
C101020,Male,0,37,Two year,No,Mailed check,25.05,926.35,2,No
C100116,Male,0,61,One year,Fiber optic,Credit card,85.82,5230.29,2,No
C101671,Female,0,32,Two year,DSL,Electronic check,76.57,2424.45,0,No
C101779,Female,0,18,Month-to-month,Fiber optic,Electronic check,77.73,1412.53,1,Yes
C100004,Male,0,34,Month-to-month,DSL,Credit card,51.49,1781.18,2,Yes
C100651,Female,0,61,Two year,No,Electronic check,24.73,1498.07,1,No
C100046,Male,0,8,Month-to-month,Fiber optic,Electronic check,59.64,447.66,2,Yes
C100328,Male,0,5,Two year,Fiber optic,Credit card,55.22,255.58,2,No
C100278,Male,1,2,Month-to-month,Fiber optic,Mailed check,66.17,129.43,2,Yes
C100455,Female,0,14,Month-to-month,Fiber optic,Electronic check,81.42,1144.39,1,No
C100447,Female,0,50,Month-to-month,Fiber optic,Credit card,73.03,3636.27,1,Yes
C101435,Male,1,58,Month-to-month,Fiber optic,Electronic check,75.22,4374.32,2,No
C101488,Male,0,1,Month-to-month,DSL,Credit card,40.04,0.0,2,Yes
C101610,Female,1,3,Month-to-month,Fiber optic,Electronic check,80.74,251.31,2,Yes
C100744,Female,0,63,Month-to-month,DSL,Mailed check,58.66,3697.49,0,Yes
C101077,Male,0,11,Month-to-month,No,Electronic check,28.39,291.2,1,Yes
C100572,Male,0,2,Month-to-month,Fiber optic,Electronic check,65.47,172.94,2,Yes
C100474,Female,0,17,Month-to-month,DSL,Mailed check,50.09,875.84,1,Yes
C100194,Female,1,23,Month-to-month,DSL,Credit card,61.59,1424.94,0,Yes
C101796,Female,0,63,Month-to-month,DSL,Credit card,63.0,3988.26,2,No
C100789,Male,0,54,One year,No,Electronic check,23.68,1303.23,1,No
C101520,Female,0,11,Month-to-month,DSL,Credit card,38.66,438.13,1,Yes
C101907,Male,0,52,One year,No,Credit card,35.66,1894.74,3,No
C100375,Male,0,63,Month-to-month,DSL,Mailed check,58.07,3638.6,0,No
C100737,Male,0,9,Month-to-month,Fiber optic,Mailed check,69.16,616.11,3,Yes
C101793,Male,1,22,Month-to-month,Fiber optic,Electronic check,84.94,1888.16,2,Yes
C100392,Male,0,18,Month-to-month,DSL,Bank transfer,63.44,1117.76,0,No
C100869,Male,0,5,One year,Fiber optic,Credit card,61.21,329.95,1,Yes
C100431,Female,0,54,Two year,Fiber optic,Electronic check,73.34,3977.78,1,No
C100325,Male,1,10,One year,DSL,Electronic check,31.13,303.94,0,No
C100410,Male,0,61,Month-to-month,DSL,Credit card,42.32,2596.93,1,Yes
C100868,male,0,54,Month-to-month,Fiber optic,Credit card,84.29,4572.1,2,Yes
C100109,Female,0,44,Month-to-month,Fiber optic,Credit card,66.49,2953.68,2,Yes
C100800,Male,0,62,Month-to-month,Fiber optic,Mailed check,81.15,5051.73,0,No
C101586,Female,0,60,One year,DSL,Bank transfer,71.74,4336.62,0,No
C100860,Female,0,53,Month-to-month,DSL,Electronic check,63.0,3325.6,4,Yes
C100470,Female,1,1,Two year,Fiber optic,Electronic check,82.87,92.05,1,No
C101701,Male,0,30,Month-to-month,Fiber optic,Mailed check,70.25,2098.23,1,Yes
C101539,Female,0,46,Month-to-month,DSL,Electronic check,41.9,1934.75,1,No
C101808,Male,0,7,Month-to-month,No,Mailed check,20.46,149.06,2,No
C100095,Male,0,46,Month-to-month,Fiber optic,Credit card,73.77,3406.97,0,No
C100593,Female,0,55,Month-to-month,No,Bank transfer,20.4,1133.44,2,No
C100861,Female,1,41,Two year,No,Electronic check,23.46,958.4,3,Yes
C100019,Male,0,54,One year,No,Bank transfer,37.55,2013.66,1,No
C101555,Male,0,5,Two year,No,Credit card,15.0,54.0,3,No
C101038,Male,0,59,Two year,No,Electronic check,32.1,1900.25,0,No
C101867,Female,0,2,One year,DSL,Credit card,35.75,72.5,0,No
C101897,female,0,63,Two year,DSL,Mailed check,52.29,3320.14,1,No
C101266,Male,0,56,Month-to-month,DSL,Credit card,72.5,4044.95,1,Yes
C100353,Male,0,63,Month-to-month,Fiber optic,Bank transfer,69.87,4406.7,0,Yes
C101832,Female,0,29,Month-to-month,DSL,Bank transfer,49.39,1397.88,1,Yes
C100372,Male,0,68,Month-to-month,No,Credit card,35.98,2432.8,0,No
C101775,Male,0,62,Month-to-month,Fiber optic,Bank transfer,70.71,4350.83,0,Yes
C100222,Female,1,49,Month-to-month,Fiber optic,Bank transfer,73.03,3588.59,0,No
C101295,Female,0,28,One year,No,Electronic check,24.21,684.8,0,No
C101210,Female,1,56,Month-to-month,Fiber optic,Bank transfer,60.28,3355.25,1,Yes
C101047,Female,0,27,Two year,DSL,Mailed check,39.14,1020.69,1,No
C100698,Male,1,24,Month-to-month,Fiber optic,Electronic check,77.09,1799.65,0,Yes
C100111,Female,0,36,Two year,Fiber optic,Bank transfer,74.89,2650.92,2,No
C101862,Female,0,57,One year,DSL,Credit card,52.66,3009.66,1,Yes
C101697,Male,0,17,Two year,No,Credit card,25.07,438.84,2,No
C101042,Male,0,44,Month-to-month,DSL,Electronic check,59.83,2640.42,0,No
C101124,Female,0,5,One year,DSL,Credit card,59.83,253.14,0,No
C100313,Male,0,5,Two year,DSL,Credit card,47.82,249.74,1,No
C100287,Female,0,4,Month-to-month,No,Mailed check,51.66,225.19,3,Yes
C100795,Male,0,8,Month-to-month,Fiber optic,Credit card,78.39,617.6,1,Yes
C101084,Male,0,39,Two year,Fiber optic,Mailed check,73.71,2845.98,1,No
C100507,Male,0,35,Month-to-month,DSL,Credit card,62.35,2175.64,1,No
C101195,Female,0,64,Two year,No,Bank transfer,32.0,2013.91,1,No
C100430,Male,1,62,Month-to-month,Fiber optic,Electronic check,76.96,4790.3,0,Yes
C100742,Female,0,38,One year,DSL,Mailed check,43.97,1652.94,0,No
C101286,Female,1,48,One year,Fiber optic,Electronic check,,4860.04,0,No
C101773,Male,0,72,Month-to-month,No,Electronic check,17.49,1276.97,2,No
C101636,Male,0,10,Month-to-month,Fiber optic,Electronic check,71.09,725.34,3,Yes
C100681,Male,0,24,Month-to-month,No,Electronic check,39.42,921.1,0,Yes
C101389,Female,0,54,Two year,DSL,Credit card,35.57,1917.12,3,No
C100017,Male,1,5,Month-to-month,No,Credit card,31.32,174.98,0,No
C100603,Male,0,23,One year,DSL,Mailed check,48.85,1131.87,0,No
C101815,Male,0,64,One year,DSL,Credit card,43.73,2806.24,1,No
C100578,female,1,9,Month-to-month,No,Bank transfer,22.8,177.82,1,Yes
C100492,Female,0,21,Two year,No,Mailed check,37.78,794.83,1,No
C101377,Female,0,44,One year,No,Electronic check,26.62,1178.95,1,No
C101809,Female,0,27,One year,DSL,Credit card,64.84,1741.24,1,No
C100845,Male,0,48,Month-to-month,DSL,Bank transfer,64.63,3118.75,1,Yes
C101752,Female,0,15,One year,No,Credit card,17.84,277.79,0,No
C101128,Female,0,21,Two year,No,Bank transfer,16.87,378.63,0,No
C100054,Male,0,62,Two year,DSL,Credit card,50.62,3129.36,2,No
